id,name,status,detail
QA-R1,7 routes registered,PASS,"router.go: 7 POST routes — create-from-checkout + cancel-on-checkout-failure (internalGroup); detail + list-mine + cancel-mine (customerGroup); list-admin + update-status-admin (adminGroup)."
QA-R2,FULL: create-from-checkout,PASS,"6-step tx: NextOrderNumber (global seq ORD-YYYYMMDD-NNNNNN) → INSERT orders (PENDING_PAYMENT v=0) → BulkInsert items (ORD-007 snapshots) → INSERT status_history (fromStatus=NULL SYSTEM) → COMMIT. No outbox on creation (correct)."
QA-R3,FULL: detail,PASS,"ADMIN: GetByID → 404 on miss. CUSTOMER: GetByID → 404 ORDER_NOT_OWNED on miss or wrong owner (no existence leak). actorUserId suppressed for CUSTOMER (REV-L2-005). History sorted ASC."
QA-R4,FULL: list-mine,PASS,"Scoped to claims.Sub. Sort DESC created_at. page/limit server-enforced (default 20 max 100 min-page 1). Optional status filter. Returns orders+total+page."
QA-R5,FULL: payment.completed consumer,PASS,"Two-layer dedup: consumed_events PK InsertOrConflict (L1) + FOR UPDATE state-driven PENDING_PAYMENT guard (L2). UpdateStatus(PAID)+history in single tx. No outbox on PAID. Matches TD pseudocode."
QA-R6,FULL: cancel-on-checkout-failure (Wave B un-stubbed),PASS,"9-step tx: FOR UPDATE → idempotent no-op if CANCELLED → 409 if not PENDING_PAYMENT → ValidateTransition → UpdateStatus(CANCELLED) → INSERT history (SYSTEM checkout-failure) → INSERT outbox_events (order.cancelled AggregateID=orderId) → COMMIT."
QA-R7,STUB: cancel-mine + list-admin + update-status-admin,PASS,"All three return 501. cancel-mine TODO documents FOR UPDATE + ValidateTransition + outbox + idempotent re-cancel. Wave B scope."
QA-R8,STUB consumers: payment.failed + payment.expired + reservation.expired,PASS,"Three stubs return nil with slog TODO. All four consumers registered in RegisterConsumerRoutes keyed by event-name. Wave B scope."
QA-SM1,State machine: 10 allowed transitions,PASS,"allowedTransitions map: PENDING_PAYMENT→{PAID PAYMENT_FAILED PAYMENT_EXPIRED CANCELLED×3} PAID→{PACKING CANCELLED} PACKING→SHIPPED SHIPPED→DELIVERED. Exactly 10 entries. Matches TD §state_machine."
QA-SM2,State machine: 14 forbidden transitions covered,PASS,"TestValidateTransition_Forbidden: 4 terminal exits + 4 wrong-actor + 4 non-existent (from,to) + 2 self-transitions = 14. Terminal fast-path + implicit-deny cover all."
QA-SM3,State machine: 27 tests per Dev report,PASS,"TestValidateTransition_Allowed 10 + TestValidateTransition_Forbidden 14 + TestIsTerminal 8 subtests + TestRequiredFieldsFor 2 assertions = 34 subtests / 4 test funcs. Dev report 27 = 10+14+3 helper-function count. No coverage gap."
QA-IA1,INTERNAL_SHARED_SECRET: header constant,PASS,"const HeaderInternalSecret = X-Internal-Secret in middleware_internal_auth.go. Bound to internalGroup (both internal routes). Exposed in allowedHeaders() for CORS."
QA-IA2,INTERNAL_SHARED_SECRET: constant-time compare,PASS,"crypto/subtle.ConstantTimeCompare([]byte(supplied), []byte(sharedSecret)) != 1. Returns 401 + c.Abort() on mismatch. Timing-oracle safe."
QA-OB1,Outbox emit events.order.cancelled keyed by orderId,PASS,"cancel-on-checkout-failure: OutboxEvent.AggregateID=orderId EventType=order.cancelled payload={eventId occurredAt orderId cancelActor fromStatus reason}. Written in same tx as status UPDATE (ADR-004). cancel-mine + update-status-admin deferred to stub completion."
QA-MG1,Migration files present,PASS,"6 migration pairs: 001_create_schema 002_create_order_number_seq 003_create_orders 004_create_order_items_and_history 005_create_outbox_and_consumed 006_create_admin_action_log. All required tables present."
QA-IM1,order_items immutable: no Update method,PASS,"OrderItemStorage exposes only BulkInsert + ListByOrderID. No UpdateItem call site in handlers or service. ORD-007 enforced."
