case_id,scenario,verdict,expected,actual,ac_id,story_id,evidence
QA-CART-001,add-item happy path — new SKU creates line returns enriched cart,pass,HTTP 200 code:SUCCESS data.cart.items[0] present,HTTP 200 code:0000 data.cart.items[0] present,CART-001,STORY_CART_ADD,handler_add_item_test.go:115-121 TestAddItem row "CART-001 — happy path"
QA-CART-002,add-item — unauthenticated returns 401,pass,HTTP 401 code:AUTH_MISSING,HTTP 401 code:HM401,CART-001,STORY_CART_ADD,handler_add_item_test.go:124-129 row "401 when no claims in context"
QA-CART-003,add-item — invalid productId UUID returns 400 VALIDATION_ERROR,pass,HTTP 400 code:VALIDATION_ERROR,HTTP 400 code:HM400,CART-001,STORY_CART_ADD,handler_add_item_test.go:139-144 row "400 when productId is not a valid UUID"
QA-CART-004,add-item — qty=0 returns 400 VALIDATION_ERROR,pass,HTTP 400 code:VALIDATION_ERROR,HTTP 400 code:HM400,CART-001,STORY_CART_ADD,handler_add_item_test.go:145-151 row "400 when qty is zero"; binding:"min=1" on addItemRequest.Qty handler_add_item.go:18
QA-CART-005,add-item — PRODUCT_INACTIVE returns 409 Conflict code:PRODUCT_INACTIVE,code_mismatch,HTTP 409 code:PRODUCT_INACTIVE,HTTP 422 code:PRODUCT_INACTIVE,CART-001,STORY_CART_ADD,"handler_add_item.go:82 HTTPStatus: http.StatusUnprocessableEntity; spec td.json#endpoints[add-item].error_contract http_status:409; design/spec/cart-cart/add-item.md error table 409"
QA-CART-006,add-item — PRODUCT_DELETED returns 409 Conflict code:PRODUCT_DELETED,code_mismatch,HTTP 409 code:PRODUCT_DELETED,HTTP 422 code:PRODUCT_DELETED,CART-001,STORY_CART_ADD,"handler_add_item.go:77 HTTPStatus: http.StatusUnprocessableEntity; spec td.json#endpoints[add-item].error_contract http_status:409; design/spec/cart-cart/add-item.md error table 409"
QA-CART-007,add-item — catalog NOT_FOUND returns 404 code:NOT_FOUND,pass,HTTP 404 code:NOT_FOUND,HTTP 404 code:HM404,CART-001,STORY_CART_ADD,handler_add_item_test.go:172-179 row "404 when product not found in catalog"
QA-CART-008,add-item — unexpected storage error returns 500 INTERNAL_ERROR,pass,HTTP 500 code:INTERNAL_ERROR,HTTP 500 code:HM500,CART-001,STORY_CART_ADD,handler_add_item_test.go:181-188 row "500 on unexpected storage error"
QA-CART-009,add-item same-SKU ON CONFLICT merge — CART-006 invariant,pass,"INSERT ON CONFLICT (cart_id,product_id) DO UPDATE SET qty=cart_items.qty+EXCLUDED.qty in single pgx tx","UpsertItem called in pgx tx (service.go:139); storage port documents ON CONFLICT merge; UNIQUE(cart_id,product_id) migration 002",CART-006,STORY_CART_ADD,service.go:128-151 AddItem tx block; migrations/002_create_cart_items.up.sql:14 CONSTRAINT uq_cart_items_sku UNIQUE(cart_id product_id)
QA-CART-010,update-item happy path — qty within stock returns enriched cart,pass,HTTP 200 code:SUCCESS data.cart present,HTTP 200 code:0000,CART-002,STORY_CART_UPDATE_QTY,handler_update_item_test.go:38-46 row "CART-002 — happy path"
QA-CART-011,update-item qty=0 branches into remove path returns enriched cart,pass,HTTP 200 code:SUCCESS; DELETE executed via removeItemInternal,HTTP 200 code:0000; service.go:174 delegates to removeItemInternal,CART-003,STORY_CART_UPDATE_QTY,handler_update_item_test.go:47-54 row "CART-003 — qty=0"; service.go:173-175
QA-CART-012,update-item — unauthenticated returns 401,pass,HTTP 401 code:AUTH_MISSING,HTTP 401 code:HM401,CART-002,STORY_CART_UPDATE_QTY,handler_update_item_test.go:56-62 row "401 when no claims in context"
QA-CART-013,update-item — invalid cartItemId UUID returns 400 VALIDATION_ERROR,pass,HTTP 400 code:VALIDATION_ERROR,HTTP 400 code:HM400,CART-002,STORY_CART_UPDATE_QTY,handler_update_item_test.go:72-78 row "400 when cartItemId is not a valid UUID"
QA-CART-014,update-item — qty exceeds available stock returns 400 VALIDATION_ERROR with availableQty,code_mismatch,"HTTP 400 code:VALIDATION_ERROR data:{availableQty:N}","HTTP 409 code:STOCK_INSUFFICIENT data:{availableQty:5}",CART-002,STORY_CART_UPDATE_QTY,"handler_update_item.go:87-91 HTTPStatus:http.StatusConflict Code:'STOCK_INSUFFICIENT'; spec td.json#endpoints[update-item].error_contract VALIDATION_ERROR http_status:400; handler_update_item_test.go:81 wantHTTPStatus:http.StatusConflict confirms intentional deviation"
QA-CART-015,update-item — cartItemId not in user cart returns 404 NOT_FOUND,pass,HTTP 404 code:NOT_FOUND,HTTP 404 code:HM404,CART-002,STORY_CART_UPDATE_QTY,handler_update_item_test.go:88-96 row "404 when cartItemId not found in user cart"
QA-CART-016,update-item — inventory upstream timeout returns 504 UPSTREAM_TIMEOUT,code_mismatch,HTTP 504 code:UPSTREAM_TIMEOUT,"HTTP 500 code:INTERNAL_ERROR (isUpstreamTimeout only unwraps context.DeadlineExceeded / context.Canceled; test passes string error so guard misses)",CART-002,STORY_CART_UPDATE_QTY,"handler_update_item_test.go:98-104 comment 'isUpstreamTimeout only wraps context errors'; handler_update_item.go:100 isUpstreamTimeout(err) will be false for wrapped string errors; service.go:479-484 isUpstreamTimeout checks errors.Is not string match; spec td.json error_contract UPSTREAM_TIMEOUT http_status:504"
QA-CART-017,update-item — unexpected DB error returns 500 INTERNAL_ERROR,pass,HTTP 500 code:INTERNAL_ERROR,HTTP 500 code:HM500,CART-002,STORY_CART_UPDATE_QTY,handler_update_item_test.go:107-113 row "500 on unexpected storage error"
QA-CART-018,read — empty cart returns items:[] subtotal:0 no fan-out,pass,"HTTP 200 code:SUCCESS data.cart.items=[] subtotal=0","HTTP 200 code:0000; service.go:276-284 returns early with empty CartView; no fan-out",CART-004,STORY_CART_ADD,handler_read_test.go:124-147 row "empty cart returns items:[] subtotal:0"; service.go:276-284
QA-CART-019,read — enriched cart returns all required fields with availability flags,code_mismatch,"CartItemView includes available:bool and unavailReason:string per spec","CartItemView struct (domain.go:36-48) has no available or unavailReason fields; service.go:375-388 never sets them",CART-005,STORY_CART_REMOVE,domain.go:36-48 CartItemView struct definition; service.go:375-388 views[i] assignment block; td.json#endpoints[read].response_schema items.available + items.unavailReason; design/spec/cart-cart/read.md field-semantics table
QA-CART-020,read — INACTIVE product line checkoutable=false excluded from subtotal,pass,checkoutable=false for INACTIVE; lineSubtotal excluded from subtotal,handler_read_test.go asserts inactiveItem.Checkoutable=false; service.go:366 checkoutable = (status==ACTIVE && availQty>0),CART-005,STORY_CART_REMOVE,handler_read_test.go:110-119; service.go:366-368
QA-CART-021,read — prices and subtotal must be integer THB (int64) not float64,code_mismatch,currentPrice/lineSubtotal/subtotal as integer (int64) minor units,"domain.go:38 CurrentPrice float64; domain.go:40 LineSubtotal float64; domain.go:53 Subtotal float64; service.go:367 float64 arithmetic",CART-004,STORY_CART_ADD,domain.go:36-58; service.go:367-392; td.json#endpoints[read].response_schema currentPrice type:integer; cross-cutting.pricing note in td.json implementation_hints
